,network_name,zero_count
0,17Networks_LH_VisCent_Striate_1,1
1,17Networks_LH_VisCent_Striate_2,2
7,17Networks_LH_VisCent_ExStr_6,2
10,17Networks_LH_VisCent_ExStr_9,1
11,17Networks_LH_VisCent_ExStr_10,2
17,17Networks_LH_VisPeri_StriCal_3,1
47,17Networks_LH_SomMotA_18,1
50,17Networks_LH_SomMotA_21,1
51,17Networks_LH_SomMotA_22,1
52,17Networks_LH_SomMotA_23,2
96,17Networks_LH_DorsAttnB_PostC_8,1
120,17Networks_LH_SalVentAttnA_FrMed_5,1
124,17Networks_LH_SalVentAttnB_PFCl_3,1
132,17Networks_LH_LimbicB_OFC_1,532
133,17Networks_LH_LimbicB_OFC_2,8
134,17Networks_LH_LimbicB_OFC_3,48
135,17Networks_LH_LimbicB_OFC_4,20
136,17Networks_LH_LimbicB_OFC_5,224
137,17Networks_LH_LimbicB_OFC_6,4
138,17Networks_LH_LimbicA_TempPole_1,86
139,17Networks_LH_LimbicA_TempPole_2,5
140,17Networks_LH_LimbicA_TempPole_3,4
141,17Networks_LH_LimbicA_TempPole_4,3
142,17Networks_LH_LimbicA_TempPole_5,18
143,17Networks_LH_LimbicA_TempPole_6,2
170,17Networks_LH_ContB_PFCd_2,2
172,17Networks_LH_ContB_PFClv_1,7
173,17Networks_LH_ContB_PFClv_2,1
198,17Networks_LH_DefaultA_PFCm_1,2
199,17Networks_LH_DefaultA_PFCm_2,4
218,17Networks_LH_DefaultB_PFCd_6,3
219,17Networks_LH_DefaultB_PFCd_7,2
222,17Networks_LH_DefaultB_PFCv_1,10
223,17Networks_LH_DefaultB_PFCv_2,4
225,17Networks_LH_DefaultB_PFCv_4,4
227,17Networks_LH_DefaultB_PFCv_6,1
240,17Networks_LH_TempPar_1,1
250,17Networks_RH_VisCent_Striate_1,1
259,17Networks_RH_VisCent_ExStr_9,2
261,17Networks_RH_VisCent_ExStr_11,1
296,17Networks_RH_SomMotA_18,1
300,17Networks_RH_SomMotA_22,3
301,17Networks_RH_SomMotA_23,1
302,17Networks_RH_SomMotA_24,2
376,17Networks_RH_SalVentAttnB_PFCd_1,3
379,17Networks_RH_SalVentAttnB_PFCl_3,1
388,17Networks_RH_SalVentAttnB_PFCmp_3,2
390,17Networks_RH_LimbicB_OFC_1,34
391,17Networks_RH_LimbicB_OFC_2,793
392,17Networks_RH_LimbicB_OFC_3,10
393,17Networks_RH_LimbicB_OFC_4,29
394,17Networks_RH_LimbicB_OFC_5,100
395,17Networks_RH_LimbicB_OFC_6,16
396,17Networks_RH_LimbicB_OFC_7,7
397,17Networks_RH_LimbicA_TempPole_1,6
398,17Networks_RH_LimbicA_TempPole_2,28
399,17Networks_RH_LimbicA_TempPole_3,2
400,17Networks_RH_LimbicA_TempPole_4,2
401,17Networks_RH_LimbicA_TempPole_5,9
402,17Networks_RH_LimbicA_TempPole_6,3
403,17Networks_RH_LimbicA_TempPole_7,11
419,17Networks_RH_ContB_Temp_1,1
420,17Networks_RH_ContB_Temp_2,2
431,17Networks_RH_ContB_PFCld_5,1
433,17Networks_RH_ContB_PFClv_1,7
434,17Networks_RH_ContB_PFClv_2,3
435,17Networks_RH_ContB_PFClv_3,3
436,17Networks_RH_ContB_PFClv_4,1
455,17Networks_RH_DefaultA_PFCd_3,1
463,17Networks_RH_DefaultA_PFCm_1,8
464,17Networks_RH_DefaultA_PFCm_2,5
465,17Networks_RH_DefaultA_PFCm_3,1
471,17Networks_RH_DefaultB_Temp_2,1
472,17Networks_RH_DefaultB_AntTemp_1,1
473,17Networks_RH_DefaultB_AntTemp_2,1
474,17Networks_RH_DefaultB_PFCd_1,3
477,17Networks_RH_DefaultB_PFCd_4,3
478,17Networks_RH_DefaultB_PFCd_5,3
479,17Networks_RH_DefaultB_PFCv_1,2
480,17Networks_RH_DefaultB_PFCv_2,1
